Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
285,Trey Lyles\lylestr01,PF,24,SAS,35,25,17.1,1.8,4.4,.405,0.8,2.4,.337,1.0,2.0,.486,.497,0.4,0.6,.682,1.2,4.7,5.8,1.2,0.3,0.3,0.6,1.3,4.8
286,Daryl Macon\maconda01,SG,24,MIA,4,0,3.5,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8
287,Josh Magette\magetjo01,PG,30,ORL,6,0,2.5,0.5,1.3,.375,0.0,0.0,,0.5,1.3,.375,.375,0.2,0.3,.500,0.2,0.3,0.5,0.3,0.3,0.0,0.7,0.0,1.2
288,Ian Mahinmi\mahinia01,C,33,WAS,16,13,21.5,2.8,5.3,.518,0.2,0.8,.231,2.6,4.5,.569,.535,1.9,3.4,.556,2.3,3.4,5.7,1.2,0.8,1.6,1.4,3.0,7.6
289,Thon Maker\makerth01,C,22,DET,36,3,11.0,1.2,2.3,.512,0.3,0.8,.370,0.9,1.6,.579,.571,1.1,1.7,.623,0.6,1.3,1.9,0.4,0.3,0.5,0.6,1.4,3.7
290,Terance Mann\mannte01,SG,23,LAC,22,5,9.2,1.0,1.9,.500,0.1,0.4,.222,0.9,1.5,.576,.524,0.4,0.5,.800,0.1,1.0,1.1,1.3,0.3,0.1,0.5,1.2,2.4
291,Boban Marjanović\marjabo01,C,31,DAL,18,1,9.4,2.1,3.9,.543,0.0,0.2,.000,2.1,3.7,.576,.543,0.8,1.1,.700,1.1,3.0,4.1,0.4,0.1,0.2,0.8,1.6,5.0
292,Lauri Markkanen\markkla01,PF,22,CHI,37,37,30.3,5.2,12.2,.423,2.3,6.5,.350,2.9,5.7,.505,.515,2.8,3.4,.827,1.2,5.5,6.7,1.6,0.9,0.5,1.7,1.9,15.4
293,Caleb Martin\martica02,SF,24,CHO,5,0,6.4,0.6,2.0,.300,0.0,0.6,.000,0.6,1.4,.429,.300,0.6,1.0,.600,0.2,0.8,1.0,0.6,0.2,0.4,0.6,0.6,1.8
294,Cody Martin\martico01,SF,24,CHO,29,0,14.7,1.4,3.4,.408,0.3,1.3,.211,1.1,2.1,.533,.449,1.0,1.4,.690,0.6,2.0,2.6,1.2,0.8,0.2,0.6,1.5,4.0
295,Kelan Martin\martike03,SF,24,MIN,17,3,17.4,2.3,6.4,.358,0.9,3.4,.263,1.4,3.1,.462,.427,0.3,0.3,1.000,0.3,3.1,3.4,0.5,0.2,0.3,0.4,1.9,5.8
296,Frank Mason\masonfr01,PG,25,MIL,4,0,4.5,0.3,1.8,.143,0.3,1.0,.250,0.0,0.8,.000,.214,0.5,1.0,.500,0.3,0.3,0.5,1.3,0.3,0.0,0.3,0.5,1.3
297,Garrison Mathews\mathega01,SG,23,WAS,15,0,13.1,1.5,3.3,.460,1.2,2.8,.429,0.3,0.5,.625,.640,1.9,2.1,.906,0.4,1.1,1.5,0.7,0.2,0.1,0.5,1.7,6.2
298,Wesley Matthews\matthwe02,SG,33,MIL,35,35,24.1,2.6,6.2,.422,1.6,4.3,.376,1.0,2.0,.522,.550,0.9,1.1,.795,0.2,2.2,2.4,1.4,0.7,0.2,0.7,1.5,7.7
299,Patrick McCaw\mccawpa01,SF,24,TOR,16,10,26.9,2.4,5.8,.424,0.9,2.5,.350,1.6,3.3,.481,.500,0.4,0.5,.750,0.5,2.1,2.6,1.9,1.3,0.1,1.1,1.8,6.1
300,CJ McCollum\mccolcj01,SG,28,POR,37,37,36.5,8.8,19.4,.453,2.6,7.0,.365,6.2,12.3,.502,.519,1.9,2.3,.802,0.8,3.5,4.3,3.8,0.8,0.6,1.8,2.6,21.9
301,T.J. McConnell\mccontj01,PG,27,IND,35,0,18.7,3.2,6.2,.512,0.1,0.3,.364,3.1,5.9,.519,.521,0.5,0.7,.826,0.5,2.1,2.7,5.3,0.6,0.1,1.4,1.1,7.0
302,Jalen McDaniels\mcdanja01,PF,22,CHO,2,0,3.5,1.0,2.5,.400,0.0,0.5,.000,1.0,2.0,.500,.400,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0
303,Doug McDermott\mcderdo01,PF,28,IND,37,0,20.8,3.6,7.6,.468,1.8,4.1,.453,1.7,3.6,.485,.589,0.6,0.7,.808,0.4,2.2,2.6,1.1,0.1,0.1,0.7,1.8,9.5
304,JaVale McGee\mcgeeja01,C,32,LAL,37,37,16.5,3.1,4.9,.624,0.1,0.1,.667,3.0,4.8,.624,.630,0.7,1.1,.659,1.9,3.9,5.8,0.6,0.5,1.7,0.8,2.4,6.9
305,Rodney McGruder\mcgruro01,SG,28,LAC,26,2,16.8,1.4,3.6,.394,0.7,2.1,.315,0.8,1.5,.500,.484,0.3,0.5,.500,0.6,2.3,2.8,0.6,0.5,0.2,0.3,1.7,3.8
306,Alfonzo McKinnie\mckinal01,SF,27,CLE,23,0,11.0,1.0,3.0,.353,0.3,1.2,.286,0.7,1.7,.400,.412,0.3,0.5,.636,0.7,1.5,2.1,0.2,0.3,0.1,0.5,1.2,2.7
307,Jordan McLaughlin\mclaujo01,PG,23,MIN,6,0,15.7,1.8,5.3,.344,0.7,2.5,.267,1.2,2.8,.412,.406,0.7,0.7,1.000,0.2,1.5,1.7,2.7,0.8,0.0,0.8,1.0,5.0
308,Ben McLemore\mclembe01,SG,26,HOU,35,8,23.6,3.2,7.9,.404,2.4,6.8,.354,0.8,1.1,.700,.556,1.0,1.3,.800,0.4,2.0,2.4,0.9,0.7,0.2,0.8,2.0,9.8
309,Jordan McRae\mcraejo01,SG,28,WAS,20,2,22.3,4.6,10.4,.438,1.7,3.7,.446,2.9,6.7,.433,.517,2.3,2.9,.789,0.5,2.8,3.3,2.8,0.7,0.6,1.3,2.1,13.0
310,Nicolò Melli\mellini01,C,29,NOP,26,3,14.2,1.7,4.2,.394,0.9,2.9,.307,0.8,1.3,.588,.500,0.9,1.2,.767,0.5,1.8,2.3,1.0,0.5,0.2,0.7,1.7,5.1
311,De'Anthony Melton\meltode01,PG,21,MEM,27,0,16.9,2.6,5.7,.452,0.6,1.7,.319,2.0,4.0,.509,.500,1.8,2.0,.891,0.8,3.0,3.9,2.8,1.3,0.3,1.4,1.9,7.6
312,Chimezie Metu\metuch01,PF,22,SAS,11,0,3.7,1.2,2.0,.591,0.0,0.0,,1.2,2.0,.591,.591,0.4,0.5,.667,0.7,0.8,1.5,0.3,0.1,0.3,0.1,0.1,2.7
313,Khris Middleton\middlkh01,SF,28,MIL,31,28,28.4,7.0,14.6,.476,2.1,5.4,.389,4.9,9.3,.526,.547,2.6,2.9,.901,0.9,4.7,5.6,3.8,0.9,0.2,2.1,2.3,18.7
314,C.J. Miles\milescj01,SG,32,WAS,10,0,16.1,1.9,5.9,.322,1.1,3.5,.314,0.8,2.4,.333,.415,1.5,2.0,.750,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
315,Malcolm Miller\millema01,SF,26,TOR,20,1,5.5,0.3,1.0,.316,0.3,0.8,.333,0.1,0.2,.250,.447,0.1,0.3,.167,0.1,0.7,0.7,0.4,0.2,0.1,0.2,0.5,0.9
316,Patty Mills\millspa02,PG,31,SAS,35,1,23.2,4.0,9.0,.443,2.3,5.5,.418,1.7,3.4,.483,.572,1.4,1.8,.790,0.3,1.3,1.6,2.1,0.8,0.1,1.0,1.5,11.7
317,Paul Millsap\millspa01,PF,34,DEN,32,32,24.9,4.1,8.8,.468,1.0,2.3,.413,3.2,6.5,.488,.523,2.7,3.0,.885,2.0,3.8,5.8,1.4,0.9,0.7,1.3,2.8,11.9
318,Shake Milton\miltosh01,SG,23,PHI,11,0,9.0,1.4,3.7,.366,0.5,2.0,.227,0.9,1.7,.526,.427,0.9,1.2,.769,0.2,1.2,1.4,0.7,0.1,0.1,1.2,1.4,4.1
319,Donovan Mitchell\mitchdo01,SG,23,UTA,36,36,35.0,9.3,20.2,.462,2.2,6.2,.360,7.1,14.0,.507,.517,4.1,4.9,.840,0.8,3.8,4.5,4.4,1.1,0.3,2.5,2.4,25.0
320,Naz Mitrou-Long\mitrona01,SG,26,IND,3,0,14.3,2.0,5.3,.375,0.7,3.7,.182,1.3,1.7,.800,.438,0.0,0.0,,0.0,2.0,2.0,2.3,0.3,0.3,0.7,0.3,4.7
321,Adam Mokoka\mokokad01,G,21,CHI,2,0,3.0,0.0,2.5,.000,0.0,1.0,.000,0.0,1.5,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Malik Monk\monkma01,SG,21,CHO,38,0,19.8,3.3,7.8,.426,0.9,3.6,.263,2.4,4.2,.565,.487,1.1,1.3,.820,0.4,2.3,2.7,1.9,0.5,0.2,1.3,1.4,8.7
323,E'Twaun Moore\mooreet01,SG,30,NOP,25,3,20.8,4.0,9.3,.425,1.5,3.8,.400,2.4,5.5,.442,.506,0.7,1.1,.630,0.7,2.4,3.2,1.6,0.6,0.1,0.6,1.7,10.1
324,Ja Morant\moranja01,PG,20,MEM,32,32,29.4,6.6,13.7,.485,0.9,2.3,.397,5.7,11.4,.503,.518,3.7,4.6,.797,0.6,2.6,3.2,6.6,1.0,0.3,3.3,1.8,17.8
325,Juwan Morgan\morgaju01,PF,22,UTA,5,0,3.2,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.6,0.6,0.2,0.0,0.2,0.2,0.4,0.0
326,Marcus Morris\morrima03,SF,30,NYK,33,33,31.7,6.2,14.2,.438,2.7,5.8,.469,3.5,8.4,.417,.534,3.8,4.6,.830,1.2,4.4,5.5,1.5,0.8,0.5,1.6,3.0,19.1
327,Markieff Morris\morrima02,PF,30,DET,31,15,22.5,4.0,8.5,.470,1.7,4.2,.411,2.3,4.4,.526,.570,1.1,1.5,.745,0.5,3.4,3.9,1.7,0.6,0.2,1.7,2.3,10.8
328,Monte Morris\morrimo01,PG,24,DEN,36,0,17.6,2.9,6.6,.445,0.6,1.5,.415,2.3,5.1,.454,.492,0.8,1.0,.778,0.3,1.3,1.6,3.2,0.7,0.2,0.6,0.8,7.3
329,Johnathan Motley\motlejo01,PF,24,LAC,7,0,2.4,0.4,0.7,.600,0.1,0.1,1.000,0.3,0.6,.500,.700,0.3,0.3,1.000,0.1,0.1,0.3,0.7,0.4,0.0,0.6,0.7,1.3
330,Emmanuel Mudiay\mudiaem01,PG,23,UTA,33,0,16.6,2.9,6.1,.475,0.5,1.4,.340,2.4,4.7,.516,.515,1.1,1.4,.766,0.3,2.3,2.6,2.3,0.3,0.2,1.5,1.5,7.4
331,Dejounte Murray\murrade01,PG,23,SAS,31,23,23.8,4.3,8.7,.487,0.5,1.4,.349,3.8,7.4,.513,.515,1.5,1.9,.793,1.2,4.6,5.8,4.1,1.7,0.3,2.2,2.4,10.5
332,Jamal Murray\murraja01,PG,22,DEN,36,36,32.2,6.6,15.0,.440,1.7,5.1,.335,4.9,9.9,.493,.496,3.0,3.3,.915,0.8,3.3,4.2,4.8,1.4,0.3,2.2,1.8,17.8
333,Džanan Musa\musadz01,SF,20,BRK,26,0,13.1,1.5,4.3,.354,0.4,2.0,.208,1.1,2.3,.483,.403,1.0,1.3,.771,0.4,1.6,2.0,1.0,0.4,0.0,0.9,0.7,4.5
334,Mike Muscala\muscami01,C,28,OKC,23,0,10.3,1.0,3.4,.304,0.7,2.6,.254,0.4,0.9,.450,.399,0.5,0.5,.917,0.4,1.8,2.2,0.7,0.2,0.1,0.3,1.1,3.2
335,Sviatoslav Mykhailiuk\mykhasv01,SF,22,DET,33,9,19.4,2.4,5.9,.403,1.8,4.3,.430,0.5,1.6,.333,.559,0.6,0.7,.792,0.2,1.2,1.4,1.5,0.6,0.1,1.0,1.3,7.2
336,Abdel Nader\naderab01,SF,26,OKC,29,5,16.8,2.3,4.8,.471,1.0,2.5,.384,1.3,2.3,.567,.571,0.9,1.1,.788,0.3,1.3,1.6,0.7,0.4,0.3,0.9,1.4,6.4
337,Larry Nance\nancela02,C,27,CLE,31,5,24.3,3.1,6.4,.492,0.9,2.8,.337,2.2,3.6,.613,.566,0.8,1.3,.667,1.6,5.4,7.0,1.5,0.8,0.5,1.0,1.5,8.0
338,Shabazz Napier\napiesh01,PG,28,MIN,23,9,21.4,3.3,8.3,.395,1.3,4.6,.274,2.0,3.7,.548,.471,1.9,2.3,.827,0.3,2.2,2.4,4.2,1.2,0.3,2.0,1.5,9.7
339,Raul Neto\netora01,PG,27,PHI,30,2,11.2,1.6,3.3,.490,0.5,1.3,.421,1.1,2.0,.533,.571,0.2,0.3,.750,0.2,0.9,1.0,1.5,0.5,0.1,0.9,0.7,3.9
340,Georges Niang\niangge01,PF,26,UTA,30,0,12.4,1.8,3.8,.478,1.2,2.6,.462,0.6,1.2,.514,.635,0.2,0.3,.700,0.2,1.6,1.8,0.4,0.2,0.1,0.4,1.3,5.1
341,Nerlens Noel\noelne01,C,25,OKC,34,3,18.4,3.0,4.5,.660,0.0,0.0,,3.0,4.5,.660,.660,1.7,2.1,.808,1.7,3.4,5.1,1.2,1.1,1.5,1.0,2.5,7.7
342,Zach Norvell\norveza01,SG,22,LAL,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
343,Jaylen Nowell\nowelja01,SG,20,MIN,7,0,11.6,1.6,4.4,.355,0.3,2.4,.118,1.3,2.0,.643,.387,1.0,1.1,.875,0.3,0.4,0.7,0.9,0.0,0.1,0.4,0.4,4.4
344,Frank Ntilikina\ntilila01,PG,21,NYK,35,24,22.3,2.2,5.6,.390,0.8,2.5,.330,1.3,3.1,.439,.464,0.8,0.9,.844,0.4,1.7,2.1,3.1,1.1,0.4,1.3,2.7,5.9
345,Kendrick Nunn\nunnke01,SG,24,MIA,36,36,30.6,6.1,13.9,.438,2.0,5.9,.340,4.1,8.1,.510,.510,1.2,1.5,.800,0.3,2.6,2.8,3.7,0.9,0.2,1.8,2.4,15.4
346,David Nwaba\nwabada01,SF,27,BRK,20,0,13.4,1.9,3.6,.521,0.6,1.4,.429,1.3,2.2,.581,.606,0.9,1.4,.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
347,Royce O'Neale\onealro01,PF,26,UTA,36,33,29.4,2.3,4.9,.469,1.3,3.1,.436,0.9,1.8,.523,.606,0.4,0.5,.778,0.2,4.7,4.9,2.5,0.8,0.3,0.9,2.9,6.3
348,Kyle O'Quinn\oquinky01,C,29,PHI,19,1,10.3,1.4,2.8,.491,0.3,0.9,.333,1.1,1.8,.571,.547,0.2,0.4,.375,1.2,2.6,3.7,1.5,0.1,0.8,0.9,1.3,3.2
349,Semi Ojeleye\ojelese01,PF,25,BOS,32,4,14.6,0.9,2.3,.384,0.5,1.4,.370,0.3,0.8,.407,.500,0.2,0.3,.700,0.3,1.5,1.8,0.5,0.4,0.1,0.2,1.2,2.5
350,Jahlil Okafor\okafoja01,C,24,NOP,21,8,16.4,3.1,5.1,.611,0.0,0.1,.500,3.1,5.0,.613,.616,1.4,2.2,.638,1.6,2.8,4.4,1.4,0.2,0.7,1.5,2.6,7.8
351,Elie Okobo\okoboel01,PG,22,PHO,28,1,11.3,1.6,3.7,.442,0.6,1.5,.415,1.0,2.3,.460,.524,1.0,1.6,.644,0.2,0.9,1.1,2.1,0.4,0.1,0.5,0.8,4.9
352,Josh Okogie\okogijo01,SG,21,MIN,34,12,23.6,2.4,6.2,.377,0.6,2.6,.253,1.7,3.7,.464,.429,2.2,2.9,.768,1.3,3.2,4.4,1.4,0.9,0.4,1.5,2.1,7.6
353,KZ Okpala\okpalkz01,SF,20,MIA,3,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
354,Kelly Olynyk\olynyke01,C,28,MIA,35,0,20.1,2.5,5.6,.447,1.4,3.4,.415,1.1,2.3,.494,.571,1.3,1.5,.882,0.8,3.7,4.5,1.2,0.7,0.3,1.1,2.6,7.7
355,Miye Oni\onimi01,SG,22,UTA,3,0,2.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
356,Cedi Osman\osmande01,SF,24,CLE,37,37,29.0,4.0,9.1,.442,1.8,4.7,.379,2.2,4.4,.509,.540,0.8,1.3,.633,0.4,2.8,3.2,2.1,0.9,0.3,1.4,2.2,10.6
357,Kelly Oubre\oubreke01,SF,24,PHO,37,37,33.8,6.5,14.1,.460,1.8,5.2,.356,4.6,8.9,.520,.525,3.5,4.4,.790,1.2,4.9,6.1,1.7,1.5,0.7,1.5,3.2,18.2
358,Jabari Parker\parkeja01,PF,24,ATL,32,23,26.2,6.2,12.3,.504,1.0,3.6,.270,5.2,8.7,.601,.543,1.7,2.3,.736,1.7,4.3,6.0,1.8,1.3,0.5,1.9,2.9,15.0
359,Chandler Parsons\parsoch01,SF,31,ATL,5,0,10.8,1.0,3.6,.278,0.8,2.8,.286,0.2,0.8,.250,.389,0.0,0.0,,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8
360,Eric Paschall\pascher01,PF,23,GSW,33,20,27.7,5.3,10.8,.490,0.6,2.2,.288,4.6,8.5,.543,.520,2.8,3.6,.775,1.3,3.2,4.5,1.7,0.4,0.3,1.6,1.8,14.0
361,Anžejs Pasečņiks\pasecan01,C,24,WAS,11,0,21.0,3.1,6.0,.515,0.0,0.1,.000,3.1,5.9,.523,.515,1.5,2.6,.586,2.4,3.9,6.3,1.0,0.4,0.4,1.2,3.8,7.7
362,Patrick Patterson\pattepa01,PF,30,LAC,33,15,14.4,1.8,4.3,.406,1.3,3.3,.385,0.5,1.0,.471,.552,0.5,0.7,.708,0.8,2.2,3.0,0.8,0.2,0.1,0.3,0.8,5.3
363,Justin Patton\pattoju01,C,22,OKC,2,0,4.5,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,2.0,1.0
364,Chris Paul\paulch01,PG,34,OKC,37,37,31.9,5.7,12.1,.470,1.6,4.4,.373,4.1,7.8,.524,.537,3.6,4.0,.905,0.3,4.7,5.1,6.5,1.5,0.1,2.1,2.4,16.6
365,Elfrid Payton\paytoel01,PG,25,NYK,19,10,24.7,3.5,8.4,.413,0.5,1.8,.265,3.0,6.6,.452,.441,0.7,1.4,.519,1.2,2.9,4.1,5.9,1.5,0.4,1.9,1.9,8.2
366,Gary Payton\paytoga02,G,27,WAS,8,6,23.8,2.5,5.9,.426,0.8,2.3,.333,1.8,3.6,.483,.489,0.3,0.5,.500,1.3,3.5,4.8,3.0,2.3,0.4,1.3,1.9,6.0
367,Norvel Pelle\pelleno01,SF,26,PHI,8,0,9.5,0.9,1.5,.583,0.0,0.0,,0.9,1.5,.583,.583,0.5,0.8,.667,0.6,2.1,2.8,0.6,0.0,1.3,0.8,2.0,2.3
368,Theo Pinson\pinsoth01,SG,24,BRK,24,0,13.3,1.8,5.9,.296,0.6,3.0,.197,1.2,3.0,.394,.345,0.6,0.7,.938,0.4,1.5,1.9,1.9,0.5,0.1,1.3,1.3,4.7
369,Mason Plumlee\plumlma01,C,29,DEN,36,1,17.2,2.7,4.8,.573,0.0,0.1,.000,2.7,4.6,.587,.573,1.4,2.4,.557,1.8,3.7,5.5,2.3,0.6,0.7,1.5,2.2,6.8
370,Vincent Poirier\poirivi01,C,26,BOS,9,0,4.9,0.8,1.6,.500,0.0,0.0,,0.8,1.6,.500,.500,0.1,0.2,.500,0.9,0.8,1.7,0.3,0.2,0.2,0.3,1.1,1.7
371,Jakob Pöltl\poeltja01,C,24,SAS,35,7,17.8,2.3,3.8,.602,0.0,0.0,,2.3,3.8,.602,.602,0.7,1.3,.533,1.9,3.7,5.7,1.8,0.5,1.4,0.9,1.7,5.3
372,Shamorie Ponds\pondssh01,PG,21,TOR,4,0,2.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.5,0.5,1.000,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3
373,Jordan Poole\poolejo01,SG,20,GSW,31,9,21.5,2.2,8.3,.261,1.1,4.5,.239,1.1,3.8,.286,.325,1.6,1.9,.850,0.1,1.7,1.9,1.8,0.7,0.2,1.0,1.6,7.0
374,Kevin Porter\porteke02,SF,19,CLE,34,2,21.8,3.3,7.4,.439,0.8,2.7,.297,2.5,4.8,.519,.492,1.2,1.6,.727,0.4,2.9,3.3,1.9,0.9,0.2,1.7,2.6,8.5
375,Michael Porter\portemi01,PF,21,DEN,27,1,10.7,2.5,4.6,.540,0.6,1.6,.372,1.9,3.0,.630,.605,0.4,0.6,.706,0.9,2.0,2.9,0.5,0.1,0.4,0.7,1.4,6.0
376,Otto Porter\porteot01,SF,26,CHI,9,9,25.1,3.9,9.3,.417,1.8,4.4,.400,2.1,4.9,.432,.512,1.7,2.2,.750,0.9,2.6,3.4,1.6,1.0,0.3,0.8,2.2,11.2
377,Bobby Portis\portibo01,C,24,NYK,37,2,20.8,3.8,8.7,.440,1.1,3.0,.382,2.7,5.8,.469,.505,1.1,1.4,.750,1.4,4.1,5.6,1.3,0.6,0.2,1.0,1.8,9.9
378,Kristaps Porziņģis\porzikr01,PF,24,DAL,31,31,31.2,6.1,15.2,.403,2.2,6.4,.343,3.9,8.8,.445,.475,2.8,3.9,.725,1.7,7.6,9.4,1.5,0.6,2.1,1.7,3.0,17.3
379,Dwight Powell\poweldw01,C,28,DAL,33,30,26.6,3.3,5.5,.608,0.3,1.0,.265,3.1,4.5,.687,.633,1.8,2.6,.667,1.8,3.6,5.4,1.4,0.9,0.6,0.8,2.6,8.7
380,Norman Powell\powelno01,SG,26,TOR,27,16,28.9,5.2,10.5,.493,1.9,4.9,.389,3.3,5.7,.582,.583,2.1,2.6,.826,0.6,3.3,3.9,1.7,1.1,0.4,1.6,1.9,14.4
381,Julius Randle\randlju01,PF,25,NYK,37,37,32.1,6.8,15.1,.449,1.2,4.2,.286,5.6,10.9,.511,.488,3.8,5.4,.697,2.2,6.9,9.1,3.2,0.7,0.2,2.9,2.7,18.5
